bank_name,branch_name,location,review,rating,date,sentiment_label,dominant_topic
Umnia Bank,"Umnia Bank - et rue Charkaoua, Angle Place Moujahidine, Khouribga","et rue Charkaoua, Angle Place Moujahidine, Khouribga","The first and last time we entered this branch in Khouribga, a bad experience on the part of the employee, no manner, no treatment",1,2024-07-26T19:39:39.949310Z,negative,Service client négatif
Umnia Bank,"Umnia Bank - et rue Charkaoua, Angle Place Moujahidine, Khouribga","et rue Charkaoua, Angle Place Moujahidine, Khouribga","Warm welcome, competent, responsive and attentive staff, fast and efficient management of services, nothing to say, well done 👍",5,2022-08-01T09:50:02.282897Z,positive,Problèmes de communication (appels non répondus)
Umnia Bank,"Umnia Bank - et rue Charkaoua, Angle Place Moujahidine, Khouribga","et rue Charkaoua, Angle Place Moujahidine, Khouribga","They are good, but there are still things to do",4,2023-06-20T15:24:55.458144Z,positive,Avis positifs et satisfaction client
Umnia Bank,"Umnia Bank - et rue Charkaoua, Angle Place Moujahidine, Khouribga","et rue Charkaoua, Angle Place Moujahidine, Khouribga","May God's peace and mercy be upon you
The body's self-healing from contemporary diseases, thanks to God, then the products of the ancient Malaysian company DXN",5,2021-06-16T09:05:33.748921Z,positive,Avis positifs et satisfaction client
Umnia Bank,"Umnia Bank - et rue Charkaoua, Angle Place Moujahidine, Khouribga","et rue Charkaoua, Angle Place Moujahidine, Khouribga",Great,5,2021-06-12T20:33:57.273418Z,positive,Temps d'attente et expérience générale
Banque Populaire,"Banque Populaire - V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga","V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga",Good,5,2024-06-08T19:40:55.546864Z,positive,Avis positifs et satisfaction client
Banque Populaire,"Banque Populaire - V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga","V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga",good,5,2024-07-30T12:46:21.625772Z,positive,Avis positifs et satisfaction client
Banque Populaire,"Banque Populaire - V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga","V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga",bad,2,2021-08-04T21:27:40.662748Z,negative,Service client négatif
Banque Populaire,"Banque Populaire - V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga","V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga",bad,2,2020-12-23T21:05:18.739174Z,negative,Service client négatif
Banque Populaire,"Banque Populaire - V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga","V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga",bad,1,2017-12-25T14:48:09.498Z,negative,Service client négatif
Attijariwafa Bank,"Attijariwafa Bank - V3MH+8Q3, Khouribga","V3MH+8Q3, Khouribga","An agency that I strongly advise against, incompetent people who do not know their own regulations. They walk you from person to person. Unexplained charges taken from my account, I go to the agency or ask for explanations, the person is unable to justify the charges, I ask to cancel my account and remove what is on it, they refer me to his colleagues for the cash withdrawal, I ask for proof of withdrawal I am told that there is no proof and I have to go see the director... around ten people were waiting for the director I decide to see another lady who she terminates my account (fee of 22dh) on which I notice that there is 29.90dh left, she tells me that I cannot withdraw them because I have to count 20dh in withdrawal fees even though they were supposed to be for me give the entire amount from the start, I therefore ask for the difference to be returned, i.e. 29.90dh less the 20dh costs, she tells me it is impossible. In short, I had to deal with thieves, incompetent, who don't give any importance to customers...I came on vacation and I found myself spending an entire morning with them!!! I'm not close to a few dhirams but it's It's a question of principle!!!",1,2024-08-15T13:13:25.266834Z,negative,Ouverture de compte en agence
Attijariwafa Bank,"Attijariwafa Bank - V3MH+8Q3, Khouribga","V3MH+8Q3, Khouribga","the worst experience I have ever had in my life, this SWDE is terrible, I strongly advise against it.  I have had a deposit for over 10 years today 11/24/2023 I go to the office and the guy at the counter is IMPROVEMENT UNPREPARED and doesn't know how to put me to sleep, he has no idea about the lack of service, just like he DOES NOT WANT TO PERFORM THE SERVICE REQUESTED.  So I find myself with my money BLOCKED.  STRONGLY NOT RECOMMENDED AND ABSOLUTELY DO NOT TRUST THIS PLACE.",1,2023-11-24T11:12:19.343453Z,negative,Service client négatif
Attijariwafa Bank,"Attijariwafa Bank - V3MH+8Q3, Khouribga","V3MH+8Q3, Khouribga",Just one star for personal bank -1 director. I would never strongly advise against it,1,2024-08-30T09:19:27.216082Z,negative,Service client négatif
Attijariwafa Bank,"Attijariwafa Bank - V3MH+8Q3, Khouribga","V3MH+8Q3, Khouribga",Director present (and not on a lunch break like some) and listens to her customers.,5,2021-08-21T11:01:08.075982Z,positive,Problèmes de communication (appels non répondus)
Attijariwafa Bank,"Attijariwafa Bank - V3MH+8Q3, Khouribga","V3MH+8Q3, Khouribga",Number unavailable,1,2021-08-03T09:57:15.139502Z,neutral,Problèmes de communication (appels non répondus)
