bank_name,branch_name,location,review,rating,date,sentiment_label
Umnia Bank,"Umnia Bank Khouribga - et rue Charkaoua, Angle Place Moujahidine, Khouribga","et rue Charkaoua, Angle Place Moujahidine, Khouribga","The first and last time we entered this branch in Khouribga, a bad experience on the part of the employee, no manner, no treatment",1,2024-07-26T19:39:39.949310Z,negative
Umnia Bank,"Umnia Bank Khouribga - et rue Charkaoua, Angle Place Moujahidine, Khouribga","et rue Charkaoua, Angle Place Moujahidine, Khouribga","Warm welcome, competent, responsive and attentive staff, fast and efficient management of services, nothing to say, well done 👍",5,2022-08-01T09:50:02.282897Z,positive
Umnia Bank,"Umnia Bank Khouribga - et rue Charkaoua, Angle Place Moujahidine, Khouribga","et rue Charkaoua, Angle Place Moujahidine, Khouribga","They are good, but there are still things to do",4,2023-06-20T15:24:55.458144Z,positive
Umnia Bank,"Umnia Bank Khouribga - et rue Charkaoua, Angle Place Moujahidine, Khouribga","et rue Charkaoua, Angle Place Moujahidine, Khouribga","May God's peace and mercy be upon you
The body's self-healing from contemporary diseases, thanks to God, then the products of the ancient Malaysian company DXN",5,2021-06-16T09:05:33.748921Z,positive
Umnia Bank,"Umnia Bank Khouribga - et rue Charkaoua, Angle Place Moujahidine, Khouribga","et rue Charkaoua, Angle Place Moujahidine, Khouribga",Great,5,2021-06-12T20:33:57.273418Z,positive
Banque populaire,"Banque populaire Agence Qods - V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga","V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga",Good,5,2024-06-08T19:40:55.546864Z,positive
Banque populaire,"Banque populaire Agence Qods - V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga","V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga",good,5,2024-07-30T12:46:21.625772Z,positive
Banque populaire,"Banque populaire Agence Qods - V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga","V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga",bad,2,2021-08-04T21:27:40.662748Z,negative
Banque populaire,"Banque populaire Agence Qods - V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga","V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga",bad,2,2020-12-23T21:05:18.739174Z,negative
Banque populaire,"Banque populaire Agence Qods - V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga","V3Q8+6M9, Bd Abderrahim Bouabid, Khouribga",bad,1,2017-12-25T14:48:09.498Z,negative
Attijariwafa Bank,"Attijariwafa Bank - V3MH+8Q3, Khouribga","V3MH+8Q3, Khouribga","An agency that I strongly advise against, incompetent people who do not know their own regulations. They walk you from person to person. Unexplained charges taken from my account, I go to the agency or ask for explanations, the person is unable to justify the charges, I ask to cancel my account and remove what is on it, they refer me to his colleagues for the cash withdrawal, I ask for proof of withdrawal I am told that there is no proof and I have to go see the director... around ten people were waiting for the director I decide to see another lady who she terminates my account (fee of 22dh) on which I notice that there is 29.90dh left, she tells me that I cannot withdraw them because I have to count 20dh in withdrawal fees even though they were supposed to be for me give the entire amount from the start, I therefore ask for the difference to be returned, i.e. 29.90dh less the 20dh costs, she tells me it is impossible. In short, I had to deal with thieves, incompetent, who don't give any importance to customers...I came on vacation and I found myself spending an entire morning with them!!! I'm not close to a few dhirams but it's It's a question of principle!!!",1,2024-08-15T13:13:25.266834Z,negative
Attijariwafa Bank,"Attijariwafa Bank - V3MH+8Q3, Khouribga","V3MH+8Q3, Khouribga","the worst experience I have ever had in my life, this SWDE is terrible, I strongly advise against it.  I have had a deposit for over 10 years today 11/24/2023 I go to the office and the guy at the counter is IMPROVEMENT UNPREPARED and doesn't know how to put me to sleep, he has no idea about the lack of service, just like he DOES NOT WANT TO PERFORM THE SERVICE REQUESTED.  So I find myself with my money BLOCKED.  STRONGLY NOT RECOMMENDED AND ABSOLUTELY DO NOT TRUST THIS PLACE.",1,2023-11-24T11:12:19.343453Z,negative
Attijariwafa Bank,"Attijariwafa Bank - V3MH+8Q3, Khouribga","V3MH+8Q3, Khouribga",Just one star for personal bank -1 director. I would never strongly advise against it,1,2024-08-30T09:19:27.216082Z,negative
Attijariwafa Bank,"Attijariwafa Bank - V3MH+8Q3, Khouribga","V3MH+8Q3, Khouribga",Director present (and not on a lunch break like some) and listens to her customers.,5,2021-08-21T11:01:08.075982Z,positive
Attijariwafa Bank,"Attijariwafa Bank - V3MH+8Q3, Khouribga","V3MH+8Q3, Khouribga",Number unavailable,1,2021-08-03T09:57:15.139502Z,neutral
Banque Populaire,"Banque Populaire - V3JP+JXP, Khouribga","V3JP+JXP, Khouribga",Thank you so much,5,2023-09-06T16:22:57.529465Z,positive
Banque Populaire,"Banque Populaire - V3JP+JXP, Khouribga","V3JP+JXP, Khouribga","I entered once the door opened but I waited 30 minutes for nothing, one of the employees did not finish counting the money, the other went back and forth and ended up receiving a cup of coffee.",2,2022-08-06T08:59:25.445033Z,neutral
Banque Populaire,"Banque Populaire - V3JP+JXP, Khouribga","V3JP+JXP, Khouribga",It is not possible to speak to a manager then to close the account you need a written request outside,1,2024-08-12T07:19:50.090120Z,neutral
Banque Populaire,"Banque Populaire - V3JP+JXP, Khouribga","V3JP+JXP, Khouribga","I had very bad behavior from a cashier who did not want to count the money withdrawn by check from my account, by the machine instead of counting it manually. She insulted me afterwards because I insisted that she do it, telling me ‘makhedamach 3and bak’. This is truly shameful and completely unacceptable. I'm super stunned. The so-called customer manager is called yousra barakat.",1,2020-01-17T17:57:50.253506Z,negative
Banque Populaire,"Banque Populaire - V3JP+JXP, Khouribga","V3JP+JXP, Khouribga",Place with best easements that people often need.,5,2024-03-17T13:55:29.992405Z,positive
Groupe Banque,"Groupe Banque Populaire - Agence Centrale - V3PQ+HJ2, Khouribga","V3PQ+HJ2, Khouribga",Bad service,2,2019-10-17T12:37:23.459446Z,negative
Groupe Banque,"Groupe Banque Populaire - Agence Centrale - V3PQ+HJ2, Khouribga","V3PQ+HJ2, Khouribga","I do not recommend it, poor treatment and untrustworthy staff",1,2023-05-24T08:14:10.265284Z,positive
Groupe Banque,"Groupe Banque Populaire - Agence Centrale - V3PQ+HJ2, Khouribga","V3PQ+HJ2, Khouribga",chofaraaa dawli 200 dh men 150 000 dh,1,2022-02-17T12:52:44.986465Z,neutral
Groupe Banque,"Groupe Banque Populaire - Agence Centrale - V3PQ+HJ2, Khouribga","V3PQ+HJ2, Khouribga",Omiiiiiii,5,2023-07-02T16:08:40.436107Z,neutral
Groupe Banque,"Groupe Banque Populaire - Agence Centrale - V3PQ+HJ2, Khouribga","V3PQ+HJ2, Khouribga",good,4,2020-10-16T06:51:18.765144Z,positive
AttijariWafa bank,"AttijariWafa bank - V3PX+VR8, Khouribga","V3PX+VR8, Khouribga",bad,1,2021-10-22T08:43:33.425629Z,negative
AttijariWafa bank,"AttijariWafa bank - V3PX+VR8, Khouribga","V3PX+VR8, Khouribga",good,5,2015-08-20T12:25:32.678Z,positive
Banque Populaire,"Banque Populaire - V3QM+VFF, Bd Beni Amir, Khouribga","V3QM+VFF, Bd Beni Amir, Khouribga",neutral,3,2017-10-07T10:16:20.065Z,neutral
Banque CIH,"Banque CIH - 5 Bd Marrakech, Khouribga","5 Bd Marrakech, Khouribga",I've waited for 2 hours to get my turn 👎,1,2023-01-21T10:42:06.799277Z,neutral
Banque CIH,"Banque CIH - 5 Bd Marrakech, Khouribga","5 Bd Marrakech, Khouribga",long waiting time for some basics services,2,2023-02-18T16:04:27.199381Z,neutral
Banque CIH,"Banque CIH - 5 Bd Marrakech, Khouribga","5 Bd Marrakech, Khouribga",Good customer service agency,5,2023-06-23T04:58:30.038284Z,positive
Banque CIH,"Banque CIH - 5 Bd Marrakech, Khouribga","5 Bd Marrakech, Khouribga",Their act not professional,1,2023-10-10T10:47:51.237867Z,neutral
Banque CIH,"Banque CIH - 5 Bd Marrakech, Khouribga","5 Bd Marrakech, Khouribga",Horrible customer service,1,2024-01-04T19:17:24.990394Z,negative
CIH BANK,"CIH BANK - Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Bd Mohammed VI, Rue Abdelkhalek Toress, Torres",Good customer service,4,2023-07-04T13:15:18.655414Z,positive
CIH BANK,"CIH BANK - Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Bd Mohammed VI, Rue Abdelkhalek Toress, Torres",Bad agency,1,2022-09-19T14:07:50.137310Z,negative
CIH BANK,"CIH BANK - Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Frankly speaking, the reception was not impressive, and my secrecy was so masculine that I advised you to walk exactly like this.",4,2024-03-15T12:15:02.913979Z,neutral
CIH BANK,"CIH BANK - Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Most of the time I find the automatic windows empty of money...and for me this is disdain for the customer on the part of the bank, and because of that I put one star.",1,2024-04-27T09:39:46.745206Z,negative
CIH BANK,"CIH BANK - Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Unfortunately, the behavior of the employees is bad, there is no respect for the customer, especially the person in charge of opening accounts and the security man who expels customers and despises them.",1,2022-12-27T09:39:43.711225Z,negative
BMCE,"BMCE - V3PR+J5P Ensemble Artisanal, Khouribga","V3PR+J5P Ensemble Artisanal, Khouribga",Line is down,1,2022-01-03T16:06:45.282258Z,neutral
BMCE,"BMCE - V3PR+J5P Ensemble Artisanal, Khouribga","V3PR+J5P Ensemble Artisanal, Khouribga","Good morning
0* customer service
Unprofessional employees who were poorly polite and understood the managers.
No resonable answer to the questions, advice for residents abroad this bank has avoided for the ATM with foreign cards, most of the time the distributor takes time to take out the money, the customer leaves believing that the transaction could not pass after the money comes out there is someone else who recovers it and blames the customer when you make a complaint it takes 2 months minimum",1,2023-01-16T15:19:20.209052Z,negative
BMCE,"BMCE - V3PR+J5P Ensemble Artisanal, Khouribga","V3PR+J5P Ensemble Artisanal, Khouribga","Very good agency, welcome, advice and respect.
I recommend, especially the director who is always attentive and attentive.",5,2023-09-14T07:27:32.367541Z,positive
BMCE,"BMCE - V3PR+J5P Ensemble Artisanal, Khouribga","V3PR+J5P Ensemble Artisanal, Khouribga",bad,1,2025-01-15T11:02:06.976381Z,negative
BMCE,"BMCE - V3PR+J5P Ensemble Artisanal, Khouribga","V3PR+J5P Ensemble Artisanal, Khouribga",good,4,2024-04-27T00:58:05.782346Z,positive
Banque BMCE,"Banque BMCE - V3MF+GPR, Bd Palestine, Khouribga","V3MF+GPR, Bd Palestine, Khouribga","Moroccan Foreign Trade Bank,
Good service available",3,2023-10-14T16:34:59.475561Z,positive
